TimeMillis,BatteryLevel,IsCharging,CpuTemperature,CpuUsage,MemoryUsage,NetworkStatus
1755507815413,100,false,37.0,-1.0,1598906368,NONE
1755507875386,100,false,37.0,-1.0,1565933568,NONE
1755507935385,100,false,37.0,-1.0,1582510080,NONE
1755507995385,100,false,37.0,-1.0,1574350848,NONE
1755508055386,99,false,37.0,-1.0,1645580288,NONE
1755508090658,99,false,37.0,-1.0,1532612608,NONE
